TRAIN_ID,TRAIN,TERMINAL,ARR_TIME,DEP_TIME,LEG_NUM,CORRIDOR
2AM5,2am5TLB,TLB,6/01/2025 21:22,6/01/2025 21:52,2,MEL-ADL
2AM5,1bm2MFT,MFT,7/01/2025 9:20,,3,MEL-ADL
2AM8,2AM8KWK,KWK,,6/01/2025 7:45,1,MEL-ADL
2AM8,1bm2SPG,SPG,6/01/2025 18:50,,2,MEL-ADL
2BM4,2bm4BFT,BFT,,6/01/2025 19:20,1,MEL-BRI
2BM4,2BM4SFT,SFT,7/01/2025 12:30,7/01/2025 13:10,2,MEL-BRI
2BM4,1bm2MFT,MFT,8/01/2025 3:00,,3,MEL-BRI
2MA5,2ma5MFT,MFT,,6/01/2025 17:30,1,MEL-ADL
2MA5,2ma5TLB,TLB,7/01/2025 1:37,7/01/2025 2:09,2,MEL-ADL
2MA5,1bm2AFT,AFT,7/01/2025 5:10,,3,MEL-ADL
2MB4,2mb4MFT,MFT,,6/01/2025 20:00,1,MEL-BRI
2MB4,2MB4SFT,SFT,7/01/2025 9:04,7/01/2025 9:09,2,MEL-BRI
2MB4,1bm2BFT,BFT,8/01/2025 2:15,,3,MEL-BRI
2MP3,2mp3MFT,MFT,,6/01/2025 1:00,1,MEL-PER
2MP3,2mp3TLB,TLB,6/01/2025 10:30,6/01/2025 11:30,2,MEL-PER
2MP3,2mp3AFT,AFT,6/01/2025 11:30,6/01/2025 13:00,3,MEL-PER
2MP3,1bm2PFT,PFT,7/01/2025 23:55,,4,MEL-PER
2MP4,2MP4MFT,MFT,,6/01/2025 1:00,1,MEL-PER
2MP4,2MP4TLB,TLB,6/01/2025 10:30,6/01/2025 11:30,2,MEL-PER
